Variable,Value,units
K_w,1.0,-
Λ_LE,28.0,u.deg
n_ult,9.0,-
t_o_c,0.09,-
λ,0.4,-
A,5.5,-
S,415.0,ui.ft ** 2
W_TO,34975.0,ui.lbf
S_h,155.0,ui.ft ** 2
b_h,24.9,ui.ft
t_r_h,0.5,ui.ft
c_bar,10.35,ui.ft
l_h,22.48,ui.ft
z_h,0.0,-
M_H,0.9,-
A_v,5.0,-
S_v,40.24,ui.ft ** 2
l_v,20.69,ui.ft
S_r,20.0,ui.ft ** 2
λ_v,0.4,-
Λ_qtrchrd_v,10.0,u.deg
K_inl,1.25,-
l_f,50.0,ui.ft
h_f,7.0,ui.ft
N_inl,2.0,-
A_inl,6.2,ui.ft ** 2
l_n,10.0,ui.ft
P_2,15.0,(ui.lbf / ui.inch ** 2)
W_pwr,3034.0,-
W_F,8641.0,ui.lbf
K_fsp,6.55,(ui.lbf / ui.gallon)
N_pil,1.0,-
N_e,1.0,-
K_fcf,138.0,-
APU_est_factor,0.004,-
W_pay,14000.0,ui.lbf
PAINT_EST_FACTOR,0.003,-
,,
System	Weight [lbf]	Location [% lf]
Fuel wing + drop tank	5000	0.51
Fuel fuselage	4500	0.39
Payload wing	11584.5	0.505
Gun	915.5	0.45
Pilot	250	0.17
Wing	2732	0.51
Powerplant	3000	0.84
Fuselage	1500	0.45
Landing Gear	800	0.4
Nacelle	455.5049735209941	0.65
FCS	800	0.38
VT	258.4414571297299	0.88
HT	571.1955168170406	0.92
APU	139.9	0.3
Avionics	446.27529999999996	0.214
Fuel Systems	414.7794535475525	0.6
Elec. Systems	394.7074204145774	0.5
Paint	104.925	0.4
Env Systems	146.55757640246088	0.3
Furnishings	93.73009656620272	0.2
O2 System	16.9	0.24
Pilot Armour	850	0.17
Result	Value	Units
CG	0.5063030680930829	% l_f
Optimal Wing Pos	0.51	%_f
Wing Weight	2732	lbf
Empty Weight	12724.916794398558	lbf
CG VT	0.88	% l_f
CG HT	0.92	% l_f
CG w/out HT	0.4994345717778259	% l_f
Weight w/out HT	34403.72127758152	lbf
FDGW	25474.91679439856	lbf
W_T	34974.91679439856	lbf
